Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng
7 Western Gateway Royal Victoria Dock Newham London E16 1AA United Kingdom,359,7/18/2016,8.5,Novotel London Excel, France , Pricey for a business hotel but that s probably my fault since I made a last minute booking during peak season ,23,1158, Staff were extremely efficient polite They warn you about the airplane noise and you can ask for a quiet room It s very close to London City airport which is a good thing if you are in a rush Room was clean functional It has all you need I had an good stay ,55,24,9.2,"[' Business trip ', ' Solo traveler ', ' Superior Room ', ' Stayed 1 night ']",381 day,51.5077198,0.0229805
7 Pepys Street City of London London EC3N 4AF United Kingdom,1936,8/2/2017,8.7,DoubleTree by Hilton Hotel London Tower of London, United Kingdom ,No Negative,0,7491, Loved the warm cookie on arrival Room was nice with good bathroom facilities,14,1,8.8,"[' Leisure trip ', ' Group ', ' Twin Room ', ' Stayed 1 night ']",1 days,51.5108412,-0.0780581
20 Upper Ground Southwark London SE1 9PD United Kingdom,1100,8/4/2015,9.1,Mondrian London, United Kingdom , Staff were awesome,4,3611, Room so big and comfortable,6,3,8.3,"[' Leisure trip ', ' Group ', ' Superior ', ' Stayed 1 night ', ' Submitted from a mobile device ']",730 day,51.5084036,-0.1067988
163 Marsh Wall Docklands Tower Hamlets London E14 9SJ United Kingdom,2682,5/14/2017,7.1,Britannia International Hotel Canary Wharf, United Kingdom , Hotel is a bit dated and tired but value for money ,13,9086, Excellent staff View was off building site but room was a lovely size ,15,7,7.9,"[' Leisure trip ', ' Group ', ' Standard Twin Room ', ' Stayed 1 night ']",81 days,51.5019097,-0.0232208
2 Whitehall Court Westminster Borough London SW1A 2EJ United Kingdom,475,1/14/2016,8.9,The Royal Horseguards, United Kingdom ,No Negative,0,2007, Location service and room were excellent,7,1,9.6,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 1 night ']",567 day,51.5054185,-0.1241499
4 rue d Anjou 8th arr 75008 Paris France,97,12/11/2015,8.8,Buddha Bar Hotel Paris, United States of America , nothing,2,538, Food at the Bar was extremely good ,9,20,10.0,"[' Leisure trip ', ' Couple ', ' Superior Room ', ' Stayed 3 nights ']",601 day,48.8694695,2.3208564
Ronda Universitat 21 Eixample 08007 Barcelona Spain,137,8/4/2015,8.5,H10 Universitat, Canada , We had a room adjoining another one The door between the two rooms was so thin that sound travelled through it as if it wasn t there Made it very noisy in the evening when we went to bed before the other couple who stayed up until 2am ,50,1403, Great location in the city very clean modern hotel very comfortable beds ,14,1,7.1,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 2 nights ']",730 day,41.3869565,2.1665338
146 Praed Street Westminster Borough London W2 1EE United Kingdom,687,8/27/2015,8.2,Hilton London Paddington, Pakistan ,No Negative,0,2898, The staff is very courteous and helping The room was big enough and very comfortable,16,1,9.6,"[' Leisure trip ', ' Solo traveler ', ' Double Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",707 day,51.515632,-0.175737
17 25 Sloane Street Knightsbridge Kensington and Chelsea London SW1X 9NU United Kingdom,759,9/26/2015,7.5,Millennium Hotel London Knightsbridge, United Kingdom , Liked the room but disappointed that breakfast was stated online included in the superior room but was a supplement charge Overall room size was small including bathroom having opted for the superior room the word superior insinuates a larger room with better facilities A very nice hotel but needs to re title it s rooms ,57,2746, The general atmosphere and staff along with decor ,10,1,7.9,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",677 day,51.4999683,-0.1599927
Pelayo 14 Ciutat Vella 08001 Barcelona Spain,72,12/15/2016,9.2,Hotel Midmost, Austria , While there is a water heater and coffee machine in the room the price for a bag of tea or a Nespresso tab is shameless ,27,460, Very good taste of the decoration,7,11,9.6,"[' Business trip ', ' Solo traveler ', ' Design Double or Twin Room ', ' Stayed 2 nights ']",231 day,41.3856173,2.1659487
18 Albert Embankment Lambeth London SE1 7TJ United Kingdom,1195,7/17/2017,8.3,Park Plaza London Riverbank, United Kingdom , I paid 93 online with expedia but I was given a receive of 74 ,16,4684,No Positive,0,1,7.1,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ']",17 days,51.4913737,-0.1214194
Gran Via de las Corts Catalanes 629 Eixample 08010 Barcelona Spain,67,8/15/2016,8.6,Hotel Indigo Barcelona Plaza Catalunya, Chile , The gym is right on the sun rooftop Impossible to use in summer time because there is at least 50 C inside Swimming pool it is actually super tiny more for kids playing ,35,802, Location was great Very nice staff Big room ,10,5,8.3,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Double or Twin Room ', ' Stayed 6 nights ']",353 day,41.391362,2.1700953
The Strand Westminster Borough London WC2N 5HX United Kingdom,359,5/18/2017,9.3,Amba Hotel Charing Cross, United Kingdom , I drink hot water and lemon at breakfast and one little glitch was the pot used for the hot water had a slight tinge of tea smell but that was an absolutely minor thing ,36,1694, Staff were professional and friendly eager to help in any way they could Cleanliness of room and hotel was the best I have experienced in London no dust in corners and bed bathroom linen and towels fresh and clean ,41,4,10.0,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double Room ', ' Stayed 1 night ']",77 days,51.508236,-0.1261963
Schubertring 10 12 01 Innere Stadt 1010 Vienna Austria,282,10/2/2016,8.6,Grand Ferdinand Vienna Your Hotel In The City Center, United States of America ,No Negative,0,2378, Amazingly comfortable bed chic design perfect location ,9,3,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ']",305 day,48.2022415,16.3749336
Bergara 11 Eixample 08002 Barcelona Spain,434,3/13/2017,8.6,Catalonia Plaza Catalunya, Ireland ,No Negative,0,4153, Loved this hotel the location and the hotel are great The staff were very helpful and pleasant the rooms and beds were really comfortable and the breakfast was fantastic,30,11,10.0,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",143 day,41.3865289,2.1682919
6 Holywell Lane Hackney London EC2A 3ET United Kingdom,500,9/19/2016,9.1,citizenM London Shoreditch, Switzerland , ,2,2113, bed was really comfy staff friendly and helpful hotel very cozy,12,1,10.0,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 3 nights ']",318 day,51.5241373,-0.0786983
10a Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,641,6/25/2017,8.7,Holiday Inn London Stratford City, United Kingdom , Nothing ,3,2130, Everything was fab Staff very polite and room was great,11,1,10.0,"[' Leisure trip ', ' Family with young children ', ' Executive King Room Non Smoking ', ' Stayed 1 night ', ' Submitted from a mobile device ']",39 days,51.5426054,-0.0072708
1 Waterview Drive Greenwich London SE10 0TW United Kingdom,1258,2/26/2017,9.4,Intercontinental London The O2, United Kingdom , The lady who check us into the room left us waiting for 15 mins and only when my husband ask if our room was ready yet this was 6pm and she just gave us our keys without a sorry for the wait ,44,4204, Breakfast was amazing wonderful staff and excellant location,9,1,10.0,"[' Leisure trip ', ' Couple ', ' Superior King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",158 day,51.5024348,-0.0002497
129 Bayswater Road London W2 4RJ United Kingdom,153,9/15/2016,7.8,Hilton London Hyde Park, Kuwait , The lobby is so small and the big rooms doesn t have window,14,646, I loved the space of the room the location near the park supermarket and lots of restaurants comforte bed the staff were friendly and the manager was helpful ,30,1,8.3,"[' Leisure trip ', ' Family with young children ', ' Grand Superior Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",322 day,51.51046,-0.1875844
St Katherines Way Tower Hamlets London E1W 1LD United Kingdom,950,8/1/2016,8.6,The Tower A Guoman Hotel, United Kingdom , Very inefficient bar staff seemed a little bit of a fiasco at times ,15,3486, Spectacular views over the bridge and the river ,10,1,5.0,"[' Leisure trip ', ' Couple ', ' Executive Double Room ', ' Stayed 2 nights ']",367 day,51.5064721,-0.0716893
St Katherines Way Tower Hamlets London E1W 1LD United Kingdom,950,12/5/2016,8.6,The Tower A Guoman Hotel, United Kingdom , Check in desk needs a lot more staff,9,3486, It is a lovley hotel,6,4,6.7,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",241 day,51.5064721,-0.0716893
Muntaner 505 Sarri St Gervasi 08022 Barcelona Spain,78,7/29/2017,8.2,Catalonia Barcelona 505, United Kingdom , City taxes,3,1013, Beautiful accommodation Lovely pool Superb district with local shops and reasonable prices ,14,8,8.8,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",5 days,41.4034965,2.1370426
31 33 Argyle Street Camden London WC1H 8EP United Kingdom,219,11/9/2016,8.1,Comfort Inn Suites Kings Cross St Pancras, United Kingdom ,No Negative,0,1116, The staff were particularly helpful to us,8,12,9.6,"[' Leisure trip ', ' Couple ', ' Double Suite ', ' Stayed 1 night ']",267 day,51.5289499,-0.1232979
C rsega 289 Eixample 08008 Barcelona Spain,133,7/4/2016,9.1,Ohla Eixample, United States of America ,No Negative,0,978, Hotel restaurant is at least a one star Michelin it was fantastic,13,10,10.0,"[' Business trip ', ' Couple ', ' Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",395 day,41.3944574,2.1564353
147 Cromwell Road Kensington and Chelsea London SW5 0TH United Kingdom,105,12/19/2015,8.0,London Marriott Hotel Kensington, United Kingdom , The pancakes at breakfast were not good ,9,449,No Positive,0,1,7.5,"[' Leisure trip ', ' Couple ', ' Deluxe Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",593 day,51.4944849,-0.1884174
Nicaragua 47 Sants Montju c 08029 Barcelona Spain,211,8/23/2015,8.1,Acta CITY47, Latvia , Very bad wifi almoust impossible to get connection you have to pray if you have to check in for the flight for example Better on E floor upstairs from lobby ,32,2436, Clean good location close to Barcelona Sants train and metro stations Suggest to have dinner in Bar Nautica very tasty gazpacho paelja etc ,25,5,7.9,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",711 day,41.383515,2.1407396
Scarsdale Place Kensington Kensington and Chelsea London W8 5SY United Kingdom,1831,5/10/2017,8.1,Copthorne Tara Hotel London Kensington, United Kingdom , Seating area outside not kept tidy Bins full and overflowing need to address for summer,16,7105, Great location Near tube station Comfortable beds Staff attentive,10,1,8.3,"[' Leisure trip ', ' Group ', ' Standard Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",85 days,51.499046,-0.1917073
88 Holland Road Kensington and Chelsea London W14 8BN United Kingdom,197,6/12/2017,8.4,88 Studios, Australia ,No Negative,0,955, Fabulous clean modern Great value for money ,9,2,9.6,"[' Leisure trip ', ' Solo traveler ', ' Single Studio ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",52 days,51.4992789,-0.2090733
Great Cumberland Place Westminster Borough London W1H 7DL United Kingdom,1190,4/17/2016,7.5,The Cumberland A Guoman Hotel, Brazil , Rooms are tired Need some improvements,7,5180, Helpfull staff,3,2,7.1,"[' Business trip ', ' Solo traveler ', ' 3 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",473 day,51.514879,-0.1606501
336 337 Strand London Westminster Borough London WC2R 1HA United Kingdom,345,12/10/2016,9.2,ME London by Melia, United Kingdom , Price of breakfast,4,1017, Loved the cool modern interiors room was comfortable linen on bed good Quality toiletries,15,8,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",236 day,51.511879,-0.118552
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,3/21/2017,8.6,Worldhotel Cristoforo Colombo, United Kingdom , Couldn t fault one thing,6,2875, This hotel is amazing pictures do not do it justice breakfast was fantastic Staff are very helpful this hotel should be classed as a 5 will defiantly be going back to Milano and staying here I travelled with my daughter for her 13th birthday on arrival staff have her white roses bloones and chocolates ,56,1,10.0,"[' Leisure trip ', ' Family with young children ', ' Double Room ', ' Stayed 2 nights ']",135 day,45.4758842,9.205791
19 25 Granville Place Marble Arch Westminster Borough London W1H 6PA United Kingdom,234,3/7/2016,8.0,Radisson Blu Edwardian Sussex, United Kingdom ,No Negative,0,1295, The staff were very friendly especially reception on Saturday morning who dealt with our query and we were upgraded Thank you so much,24,2,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",514 day,51.5144381,-0.1558337
17 25 Sloane Street Knightsbridge Kensington and Chelsea London SW1X 9NU United Kingdom,759,3/1/2016,7.5,Millennium Hotel London Knightsbridge, Qatar , Rooms are very small,5,2746, Location is highly recommended,5,25,9.2,"[' Leisure trip ', ' Group ', ' Standard Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",520 day,51.4999683,-0.1599927
Rambla Catalunya 7 9 Eixample 08007 Barcelona Spain,252,10/8/2015,9.2,H10 Metropolitan 4 Sup, Canada ,No Negative,0,1834, Staff was very friendly and service was very good,10,12,10.0,"[' Leisure trip ', ' Couple ', ' Double or Twin Room with Balcony ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",665 day,41.3875467,2.1673975
33 37 Hogarth Road Kensington and Chelsea London SW5 0QQ United Kingdom,989,9/25/2016,8.4,Park Grand London Kensington, United Kingdom , Having to wait so long for all our rooms ,11,4660, The location,3,3,8.3,"[' Leisure trip ', ' Group ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",312 day,51.4938468,-0.1917582
Hanger Lane Ealing London W5 3HL United Kingdom,183,7/5/2016,8.5,Hotel 55, United Kingdom , If you are going to mainly want to be in the centre of London it works out about 30 minutes on trains but is simple enough and we fount it fine to do also you then have the option of a quieter day away from it ,48,722, Liked how the train station was literally a minute away Me and my sister went to London to see Beyonc at Wembley and it was 11 in an ber which the hotel has 15 00 off vouchers which we used on the way back as was higher price due to traffic coming out of the concert So many leaflets and discount cards for loads of places and attractions in London The staff were lovely brought us fresh bottled water and extra tea and anything else we needed also check out was early but our coach home was a night coach so they happily held our luggage with them whilst we went for a day sight seeing around London They couldn t of done anymore Only thing was the tea and coffee shelf kept falling in the wardrobe but we told them and they offered to send someone straight up but we advised it wasn t causing an issue so was no need Don t let the road outside put you off if you get a road facing room it didn t bother us and we had a great 2 nights here ,193,1,9.2,"[' Leisure trip ', ' Group ', ' Double Room with Street View ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",394 day,51.5213303,-0.2915052
52 Chiswell Street City of London London EC1Y 4SD United Kingdom,704,6/22/2016,8.8,The Montcalm At Brewery London City, United Kingdom , Walk to the room is little far from reception but is still easy to find and not really a problem at all Parking is in nearby carpark and is quite expensive typical london prices ,36,2617, Comfortable beds Large room Great bathroom with a cool glass wall to the bedroom which also closes with an electric blind ,23,9,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",407 day,51.5208155,-0.0915319
40 trinity square City of London London EC3N 4DJ United Kingdom,832,5/1/2017,9.1,citizenM Tower of London, Italy , Unfortunately you couldn t have a look at the Thames or at the Tower of London because the riverside is reserved by a private society and the roof is not accessible ,33,4672, Everything in this hotel is top notch the position is just in front of the Tower of London obviously well served by any means of transport tube stop is just next door The room wasn t large but very comfortable and well organized The bed was huge and great to sleep into the bathroom was mirror clean and almost brand new with great attention to details shower head had five different settings Everything from tv to curtains from light colours to room temperature could be remote controlled by an Ipad The staff was friendly and helpful in settling every problem even if we arrived at 3 00 am being also able to speak a lot of different languages The hall and living is gargantuan but cozy because it was furnished more like a house with great libraries full of every kind of book We didn t try the breakfast because it was definitive too expensive ,157,23,10.0,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",94 days,51.510237,-0.0764428
Pelai 28 Ciutat Vella 08002 Barcelona Spain,532,3/21/2016,8.6,Catalonia Ramblas 4 Sup, Iraq , some what expensive restaurant supervisor was not friendly ,10,4276, clean friendly reception staff very good location close to the Catalonia place and ramblas street i advice it ,20,8,9.6,"[' Leisure trip ', ' Family with young children ', ' Triple Room ', ' Stayed 4 nights ']",500 day,41.3856387,2.1668274
7 11 Queensberry Place Kensington and Chelsea London SW7 2DL United Kingdom,234,2/19/2017,6.9,Gainsborough Hotel, Greece , This is not a four star hotel Not so clean Spilled milk in the coffee cabinet for 5 days within the day we arrived they never cleaned it Not a value for money hotel We paid for the deluxe room and they gave us a room in the 1 floor without even warning us ,56,1884, Nice location close to the undreground metro stasion Breakfast was OK ,13,2,4.6,"[' Leisure trip ', ' Group ', ' Deluxe Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",165 day,51.4948416,-0.1772056
20 Upper Ground Southwark London SE1 9PD United Kingdom,1100,6/6/2016,9.1,Mondrian London, United Kingdom ,No Negative,0,3611, Loved the rum bodywash and cocktails in Dandelyan ,10,8,10.0,"[' Leisure trip ', ' Couple ', ' Standard ', ' Stayed 1 night ']",423 day,51.5084036,-0.1067988
101 Buckingham Palace Road Westminster Borough London SW1W 0SJ United Kingdom,838,8/9/2016,8.4,The Grosvenor, United Kingdom , Shower cubicle in very poor state with a tiny curtain water was able to pour off the ledge in the tray and practically flood the bathroom which was tiny Could hear the train station announcements loudly as we had window open as a hot day ,47,3274,No Positive,0,1,5.4,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",359 day,51.4956657,-0.1452793
Westminster Bridge Road Lambeth London SE1 7UT United Kingdom,2623,5/2/2017,8.7,Park Plaza Westminster Bridge London, Australia , Room could be cleaned better and and a bit earlier in the day rather than late afternoon,18,12158,No Positive,0,3,8.3,"[' Leisure trip ', ' Family with young children ', ' Superior Double Room with Internal View ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",93 days,51.5009609,-0.1165913
Old Park Lane Westminster Borough London W1K 1LB United Kingdom,122,11/3/2015,9.0,COMO Metropolitan London, Switzerland ,No Negative,0,416, everything was perfect and a lot of kindness from all the personnel ,14,7,9.2,"[' Leisure trip ', ' Couple ', ' Deluxe Metropolitan City Double Room ', ' Stayed 1 night ']",639 day,51.5050355,-0.1500864
Via Angelo Carlo Fumagalli 4 Navigli 20143 Milan Italy,199,4/13/2016,8.6,Art Hotel Navigli, Israel , The cleanliness of the room was lacking somewhat The barman was not very friendly or helpful,17,3636, The staff at reception and breakfast were very friendly The location is great and room was comfortable Breakfast was great ,22,2,8.3,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",477 day,45.4501306,9.1696481
12 boulevard Malesherbes 8th arr 75008 Paris France,139,9/1/2016,8.4,Waldorf Madeleine, United Kingdom ,No Negative,0,1184, Great location all the major things to do and see are a short walk away staff were great especially Marc very helpful and full on good advice Look forward to returning,32,2,10.0,"[' Leisure trip ', ' Couple ', ' Classic Double or Twin Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",336 day,48.8715828,2.3224853
41 Queens Gate Gardens Kensington and Chelsea London SW7 5NB United Kingdom,202,12/29/2015,8.0,Grange Strathmore Hotel, United Kingdom , The pillows were very flat and uncomfortable at times Found a few blonde hairs in the bed ,19,984, The staff were all very friendly and helpful No complaints at all Lovely area for a short trip away,20,2,7.1,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",583 day,51.4958184,-0.1813958
13 Rue De La Paix 2nd arr 75002 Paris France,158,10/20/2015,8.4,H tel Westminster, United Kingdom ,No Negative,0,1374, Fantastic location Loved the hotel the piano double bass in the bar on Saturday evening ,17,21,8.8,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ']",653 day,48.8693409,2.3310263
55 61 Westbourne Terrace Westminster Borough London W2 3UY United Kingdom,791,8/28/2016,7.3,Shaftesbury Premier London Paddington, United Kingdom , The room could ve been slightly bigger but I guess that was down to the original building sizes of the rooms,22,3609,No Positive,0,1,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",340 day,51.5153672,-0.1783271
4 Broad Court Bow Street Covent Garden Westminster Borough London WC2B 5QZ United Kingdom,294,5/23/2016,8.7,Fielding Hotel, United Kingdom , The stairs ,4,1271, Location excellent and friendly courteous staff ,8,11,8.8,"[' Leisure trip ', ' Group ', ' Twin Room ', ' Stayed 1 night ']",437 day,51.5139315,-0.1219893
Prinses Irenestraat 30 Zuideramstel 1077 WX Amsterdam Netherlands,726,5/3/2016,8.6,citizenM Amsterdam, United Kingdom , Nothing,2,4530, The bed was extremely comfy the staff were excellent when we queried the fact that the city tax needed to be paid as not done through booking com easy self service check in and out and the hotel was easy to find and close to tram and train station I would definitely stay here again ,57,18,10.0,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",457 day,52.3419432,4.8759604
23 25 rue de Pont Neuf 1st arr 75001 Paris France,38,12/25/2016,8.9,Maison Albar Hotel Paris C line, United Arab Emirates ,No Negative,0,326, Absolutely amazing stay The staff are incredible Food fabulous ,11,8,10.0,"[' Leisure trip ', ' Family with young children ', ' Junior Suite with Spa Access ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",221 day,48.8606187,2.344401
Ferdinand Bolstraat 333 Oud Zuid 1072 LH Amsterdam Netherlands,383,6/7/2017,8.9,Hotel Okura Amsterdam, United Kingdom , Not perfectly in centre of town but an easy taxi ride away Expensive like all hotels in Amsterdam ,20,2295, Beautiful stone marble bathroom great restaurant and bar Has a swimming pool which is nearly unheard of in Amsterdam ,21,9,8.8,"[' Business trip ', ' Group ', ' Superior Double or Twin Room with City View ', ' Stayed 3 nights ']",57 days,52.3487635,4.8938829
Margareteng rtel 142 05 Margareten 1050 Vienna Austria,84,7/13/2017,8.9,Falkensteiner Hotel Wien Margareten, United Kingdom , bad wifi speed not many english tv channels no solid soap,12,1218, spa,2,1,10.0,"[' Business trip ', ' Solo traveler ', ' Deluxe Double or Twin Room ', ' Stayed 3 nights ']",21 days,48.1868107,16.3440157
Rudolfsplatz 11 01 Innere Stadt 1010 Vienna Austria,120,10/10/2015,8.6,K K Palais Hotel, United Kingdom ,No Negative,0,992, The staff all were not only friendly but very efficeint,11,6,9.6,"[' Leisure trip ', ' Couple ', ' Executive Double or Twin Room ', ' Stayed 4 nights ']",663 day,48.2138096,16.3714293
2 8 Hanger Lane Ealing Common London W5 3HN United Kingdom,434,2/19/2017,8.4,DoubleTree by Hilton London Ealing, Belgium , The location is somewhat out of town but that s something you know when booking Although it s out of town there is a Tube station nearby Piccadilly and District lines The tube brings you to central London within no time ,43,1494, We were very friendly welcomed by the staff of the hotel and even received an American cookie The atmosphere is wonderful and the rooms are 100 useful Everything was super clean and we also had a Nespresso coffee maker and iPhone docking station in the room I would definitely recommend this hotel ,54,3,9.6,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",165 day,51.511521,-0.290706
Stratton Street Mayfair Westminster Borough London W1J 8LT United Kingdom,581,5/15/2016,8.4,The May Fair Hotel, United States of America , Gym was too small,5,1994,No Positive,0,1,8.3,"[' Business trip ', ' Solo traveler ', ' Superior Queen Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",445 day,51.5078943,-0.1436707
Stratton Street Mayfair Westminster Borough London W1J 8LT United Kingdom,581,5/17/2017,8.4,The May Fair Hotel, Lebanon , Price,2,1994, Location,2,7,8.3,"[' Leisure trip ', ' Couple ', ' Superior King or Twin Room ', ' Stayed 2 nights ']",78 days,51.5078943,-0.1436707
31 St Thomas Street Southwark London SE1 9QU United Kingdom,732,8/21/2016,9.4,Shangri La Hotel at The Shard London, United Kingdom , It was all perfect ,6,2200, Amazing service,3,1,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe King Room with City View ', ' Stayed 1 night ', ' Submitted from a mobile device ']",347 day,51.5044972,-0.0855562
Nieuwezijds Voorburgwal 67 Amsterdam City Center 1012 RE Amsterdam Netherlands,440,9/28/2016,8.9,INK Hotel Amsterdam MGallery by Sofitel, United Kingdom , We did have to call multiple times to get out 50 Euro holding deposit down which wasn t acceptable The hotel admitted fault but it s still not good enough ,32,2574, Lovely hotel and staff ,6,3,10.0,"[' Leisure trip ', ' Couple ', ' Classic Queen Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",309 day,52.3754926,4.8929878
163 Marsh Wall Docklands Tower Hamlets London E14 9SJ United Kingdom,2682,10/4/2016,7.1,Britannia International Hotel Canary Wharf, United Kingdom , Everything except the location,5,9086, The Location,3,1,3.8,"[' Leisure trip ', ' Couple ', ' Standard Double Room without Window ', ' Stayed 1 night ', ' Submitted from a mobile device ']",303 day,51.5019097,-0.0232208
Moll de Barcelona WTC Ciutat Vella 08039 Barcelona Spain,666,1/26/2016,8.5,Eurostars Grand Marina Hotel GL, Ivory Coast , The reception staff the guy who was talking 100 wards per minute 3 hours was lieing to me that room still need special cleaning let us wait 3 hours in the restorant with 2 small kids He gave us the key only after a figth ,47,4559, The view location yammy food,6,1,6.3,"[' Leisure trip ', ' Family with young children ', ' Family Room 2 Adults 1 Child ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",555 day,41.371308,2.181698
2 Rue Edouard VII 9th arr 75009 Paris France,82,9/13/2015,9.1,Hotel Indigo Paris Opera, Switzerland , when you go tobreakfast their are several left overs of room dinners on the floor by returning at 3 pm they are still there hope that no rats are in the area but for this hotel a change should take place also we do not want to see the used bed sheets when going to the room ,59,616, good breakfast some presentation changes recommended as we were not the first time in hotel we liked room 312 and appreciate to receive it next time ,28,149,8.8,"[' Business trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",690 day,48.8704371,2.329236
225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,7/8/2017,7.5,Hilton London Metropole, Hong Kong ,No Negative,0,6977, The location was good for tourist primarily using public transport There are quite a number of good quality restaurants at reasonable prices in the vicinities A,27,3,8.3,"[' Business trip ', ' Couple ', ' Twin Hilton Guest Room ', ' Stayed 1 night ']",26 days,51.5195688,-0.170521
Delflandlaan 15 Slotervaart 1062 EA Amsterdam Netherlands,947,7/29/2017,8.7,Best Western Premier Hotel Couture, Serbia , We don t have any complaints one day thewifi was going on and off for some time but othervise it worked just fine ,25,8177, We were thete for a week It was very comfortable and private the staff was friendly and helpful Also the tram number 2 stops right outside the hotel and is very frequent A perfect place to stay if you re planning a trip to Amsterdam ,47,5,10.0,"[' Leisure trip ', ' Family with young children ', ' Standard Double or Twin Room ', ' Stayed 7 nights ', ' Submitted from a mobile device ']",5 days,52.3511137,4.8411629
65 73 Shaftesbury Avenue Westminster Borough London W1D 6EX United Kingdom,531,12/22/2015,9.0,The Piccadilly London West End, United Kingdom , The noise The hotel is situated on a busy street and I was woken up several times during the night due to glass collections refuse collections and wailing sirens ,31,2298, The room was lovely and a great size ,10,5,6.3,"[' Leisure trip ', ' Solo traveler ', ' Premier Double Room ', ' Stayed 1 night ']",590 day,51.5121957,-0.1318384
49 Avenue Marceau 16th arr 75116 Paris France,112,7/27/2017,8.2,Suites H tel Helzear Champs Elys es, Croatia , Too crowdy for 3 persons although we had suite with one bedroom Bad smell from bathroom no iron and ironing desk even no one free coffee capsule furniture in the kitchen devastated small bedroom with bad from wall to wall Too expensive for payed money ,47,965, Location and design ,5,4,7.5,"[' Leisure trip ', ' Family with young children ', ' One Bedroom Suite ', ' Stayed 1 night ', ' Submitted from a mobile device ']",7 days,48.8691399,2.2981024
